X,Y,portid,portname,country,ISO3,fullname,lat,lon,pageid,ObjectId
15147311.0950538,4254923.85203606,port1325,Tsuruga,Japan,JPN,"Tsuruga, Japan",35.66719379,136.0706107,3b1f40eb8acd452ab6229331302891fe,1
10996330.2513349,193165.405578009,port1198,Sibolga,Indonesia,IDN,"Sibolga, Indonesia",1.734969159,98.78171534,4d00b008b4be4068bf8a19d7da6e8cf6,2
12063063.0710255,2465268.52225189,port339,Fangcheng,China,CHN,"Fangcheng, China",21.61420534,108.3643393,266042b244cf452a89f4a2de14f3da2f,3
14606584.8059802,4021402.44075359,port1335,Ube,Japan,JPN,"Ube, Japan",33.94487467,131.2131838,f3f6725ef00e4d3f8f9c93c45258667e,4
18741773.5149655,-5875427.58703623,port153,Bluff Harbor,New Zealand,NZL,"Bluff Harbor, New Zealand",-46.59012995,168.360216,894ab5e5a18e48b6922c023196f74c8f,5
-164204.393165344,7359181.0867714,port1334,Tynemouth,United Kingdom,GBR,"Tynemouth, United Kingdom",54.98616295,-1.475073161,c5c5cc67df43466e999530930e8425d1,6
13439488.0766536,4551048.9124275,port897,Penglai,China,CHN,"Penglai, China",37.79885005,120.7289755,0f79b45e2a6b466682a3e2c4d5d8d3df,7
1693740.33248394,3808549.02591465,port750,Misrata,Libya,LBY,"Misrata, Libya",32.34398379,15.21512828,70d1343f8a804a53bd7d766c3dbed671,8
5360523.2473806,3560699.31390844,port563,Khorramshahr,Iran,IRN,"Khorramshahr, Iran",30.44360334,48.15439964,0c2107f4770842e4b68a3986bb94b6c4,9
14913858.3822843,4105068.13411199,port1343,Uno,Japan,JPN,"Uno, Japan",34.56607811,133.9734693,2ab531a159ee4add8bb76a491e2cf25b,10
12926691.1799031,-365300.575252474,port1224,Stagen,Indonesia,IDN,"Stagen, Indonesia",-3.279758294,116.1224426,1747e111d06f494194eb7b517b3854c4,11
5733908.01877381,4391133.88080339,port834,Nowshahr Port,Iran,IRN,"Nowshahr Port, Iran",36.65505162,51.50857211,0442995aff114fcbb7180bcb003ebe41,12
13383120.6287262,4304306.75392503,port1069,Qingdao,China,CHN,"Qingdao, China",36.02677905,120.2226181,c27f8d2d036f465d996bcf1429c44926,13
14755429.9969324,3924675.7023748,port1345,Uwajima,Japan,JPN,"Uwajima, Japan",33.2210061,132.5502829,d1bba355809847d38cc2a7a30ab7a188,14
3321505.3842978,3652942.72877377,port23,Alexandria,Egypt,EGY,"Alexandria, Egypt",31.15536502,29.83759053,a068e6e45ebc45ecb3aeda0a5ea19a38,15
5359493.10794474,3381444.52751926,port743,Mina Al Ahmadi,Kuwait,KWT,"Mina Al Ahmadi, Kuwait",29.0455478,48.14514574,a019490627984d30b93e97fa158d2d0a,16
17215.3736815886,6922007.99047067,port1400,Wisbech,United Kingdom,GBR,"Wisbech, United Kingdom",52.66901607,0.154648333,debaeedb9dd44523ba7b9b7994db71b9,17
14561995.7616791,4016804.54737082,port1378,Kitakyushu (Wakamatsu),Japan,JPN,"Kitakyushu (Wakamatsu), Japan",33.91060335,130.8126336,b03377320188458bb9fdb39ed2bbb51a,18
13331987.1226933,4246996.38697745,port1070,Dongjiakou,China,CHN,"Dongjiakou, China",35.60931763,119.763278,c5e6bf92ae064185b0723656aa59b07c,19
3621294.1920369,3497253.9742806,port71,As Suways,Egypt,EGY,"As Suways, Egypt",29.95100833,32.53063921,985a636a613c43919bfb65a922bd6e6b,20
536519.215157731,6874666.93335355,port45,Amsterdam,The Netherlands,NLD,"Amsterdam, The Netherlands",52.41036165,4.819634112,148e0d053aec4eb0a27d53cc6a7ae520,21
12548118.6274687,-803716.164560067,port1237,Tanjung Perak,Indonesia,IDN,"Tanjung Perak, Indonesia",-7.200873409,112.7216675,78366a0da4c64d2bbf93abb950d0ad2a,22
